ProbeName,GSM1149106_M_Ns3.txt:gProcessedSignal(normalized),GSM1149107_M_Ns4.txt:gProcessedSignal(normalized),GSM1149108_M_Ns5.txt:gProcessedSignal(normalized),GSM1149109_M_Ns6.txt:gProcessedSignal(normalized),GSM1149110_M_Ns7.txt:gProcessedSignal(normalized),GSM1149111_M_Ns8.txt:gProcessedSignal(normalized),GSM1149112_M_Ns9.txt:gProcessedSignal(normalized),GSM1149113_M_Ns10.txt:gProcessedSignal(normalized),GSM1149114_M_Ns11.txt:gProcessedSignal(normalized),GSM1149115_M_Ns12.txt:gProcessedSignal(normalized),GSM1149116_M_Ns13.txt:gProcessedSignal(normalized),GSM1149117_M_Ns14.txt:gProcessedSignal(normalized),GSM1149118_M_Sm1.txt:gProcessedSignal(normalized),GSM1149119_M_Sm2.txt:gProcessedSignal(normalized),GSM1149120_M_Sm3.txt:gProcessedSignal(normalized),GSM1149121_M_Sm4.txt:gProcessedSignal(normalized),GSM1149122_M_Sm5.txt:gProcessedSignal(normalized),GSM1149123_M_Sm6.txt:gProcessedSignal(normalized),GSM1149124_M_Sm8.txt:gProcessedSignal(normalized),GSM1149125_M_Sm9.txt:gProcessedSignal(normalized),GSM1149126_M_Sm10.txt:gProcessedSignal(normalized),GSM1149127_M_SM11.txt:gProcessedSignal(normalized),GSM1149128_M_Sm12.txt:gProcessedSignal(normalized),GSM1149129_M_Sm13.txt:gProcessedSignal(normalized),GSM1149130_F_Ns1.txt:gProcessedSignal(normalized),GSM1149131_F_Ns3.txt:gProcessedSignal(normalized),GSM1149132_F_Ns5.txt:gProcessedSignal(normalized),GSM1149133_F_Ns6.txt:gProcessedSignal(normalized),GSM1149134_F_Ns7.txt:gProcessedSignal(normalized),GSM1149135_F_Ns8.txt:gProcessedSignal(normalized),GSM1149136_F_Ns9.txt:gProcessedSignal(normalized),GSM1149137_F_Ns10.txt:gProcessedSignal(normalized),GSM1149138_F_Ns11.txt:gProcessedSignal(normalized),GSM1149139_F_Ns12.txt:gProcessedSignal(normalized),GSM1149140_F_Ns13.txt:gProcessedSignal(normalized),GSM1149141_F_Ns14.txt:gProcessedSignal(normalized),GSM1149142_F_Sm1.txt:gProcessedSignal(normalized),GSM1149143_F_Sm2.txt:gProcessedSignal(normalized),GSM1149144_F_Sm3.txt:gProcessedSignal(normalized),GSM1149145_F_Sm4.txt:gProcessedSignal(normalized),GSM1149146_F_Sm5.txt:gProcessedSignal(normalized),GSM1149147_F_Sm6.txt:gProcessedSignal(normalized),GSM1149148_F_Sm7.txt:gProcessedSignal(normalized),GSM1149149_F_Sm8.txt:gProcessedSignal(normalized),GSM1149150_F_Sm9.txt:gProcessedSignal(normalized),GSM1149151_F_Sm10.txt:gProcessedSignal(normalized),GSM1149152_F_Sm11.txt:gProcessedSignal(normalized),GSM1149153_F_Sm12.txt:gProcessedSignal(normalized),GeneSymbol,EntrezGeneID,Go
A_23_P397978,6.9408317,6.6257944,5.4563847,6.517729,5.5648355,5.7518187,6.6921997,6.248688,6.613178,6.562238,6.378638,6.4680467,5.3130617,7.0417957,7.034683,7.005492,7.2577896,5.991044,6.49813,6.233588,6.608571,6.5671754,6.6418257,6.6969576,6.830446,4.821031,5.92835,5.9351764,7.550153,7.6556854,7.07604,6.9656777,6.9095764,6.6489167,6.9501214,6.7593756,5.437863,6.041918,6.1358037,6.51047,6.1091475,6.3801937,5.9649425,6.009619,7.2779365,6.3994036,6.1508837,7.0249934,TCAF2,285966.0,GO:0002244
A_23_P212500,6.149996,6.549894,5.817579,5.221225,6.071732,4.630081,7.112867,6.8417306,6.139909,6.701792,6.4176955,5.7488213,5.9005947,5.9470673,6.1961327,7.125801,7.687595,5.588927,7.3161283,6.2745724,7.2821655,7.1071033,8.505111,6.994264,5.88467,5.851442,5.937453,5.7311687,5.770328,6.6843953,6.3813186,6.896882,5.7536445,5.9286346,6.293926,6.6164875,5.66697,5.648116,6.3045497,5.5172253,6.6561704,6.3342166,5.398826,6.3326654,6.066354,5.999382,6.1662207,6.9258385,TF,7018.0,GO:0005515|GO:0048471|GO:0072562|GO:0030139|GO:0005615|GO:0006879|GO:0033572|GO:0016324|GO:0009925|GO:0001895|GO:0031625|GO:0070062|GO:0009986|GO:0005770|GO:0045178|GO:0030168|GO:0005576|GO:0055085|GO:0031982|GO:0008199|GO:0005905|GO:0007596|GO:0002576|GO:0016023|GO:0055037|GO:0005769|GO:0010008|GO:0034774
A_23_P105562,9.779802,8.277952,10.013705,9.363272,9.362492,10.89807,10.057226,10.907494,9.322081,9.276914,10.511417,11.36352,9.317636,9.710488,10.036989,9.58002,9.36426,7.7182946,10.227355,7.6923504,9.228618,7.6076984,10.017267,10.591196,8.121357,8.551918,7.923416,8.776705,8.794746,8.703822,8.60005,9.967087,10.03479,8.749107,9.580107,8.6916065,8.985823,10.578104,10.5718,8.739831,9.541547,10.089878,8.614813,8.172726,8.9142,9.001342,9.858356,9.563181,VWF,7450.0,GO:0005515|GO:0005783|GO:0005518|GO:0051087|GO:0002020|GO:0042803|GO:0042802|GO:0001948|GO:0019865|GO:0030198|GO:0031091|GO:0051260|GO:0031093|GO:0007155|GO:0070062|GO:0033093|GO:0031589|GO:0005578|GO:0009611|GO:0030168|GO:0005576|GO:0001890|GO:0001889|GO:0007599|GO:0031012|GO:0047485|GO:0005178|GO:0007596|GO:0007597|GO:0002576|GO:0009897
A_23_P17438,4.1228566,3.986674,1.9754901,0.75155884,2.329914,4.5997043,4.819734,3.567874,3.5704339,0.7338559,3.417072,4.4310045,4.5093203,2.8733819,4.4524894,2.6967802,4.603653,4.040053,6.8782363,5.0858655,5.6700916,5.1465898,4.8892827,3.3466961,2.2379234,0.0,2.0823524,2.5948613,2.3870509,3.6047227,2.8986151,4.2496176,3.40059,5.180068,4.2148414,0.0,2.8062108,0.0,2.8425515,2.76638,0.0,0.0,2.475654,4.0016184,3.4918916,3.7671165,2.0320814,4.640263,EDN3,1908.0,GO:0008284|GO:0008015|GO:0001755|GO:0007267|GO:0005615|GO:0019229|GO:0010961|GO:0043406|GO:0030182|GO:0046887|GO:0042310|GO:0003100|GO:0014824|GO:0014826|GO:0048016|GO:0030593|GO:0006874|GO:0005102|GO:0045840|GO:0007275|GO:0005576|GO:0030318|GO:0002690|GO:0007165|GO:0048070|GO:0005179|GO:0010460|GO:0030072|GO:0007166
A_23_P119042,12.358458,12.6344795,12.181148,11.841992,12.253917,12.710549,13.818712,12.590117,12.410236,13.72728,13.348582,13.354061,11.241337,12.018355,13.258763,13.490624,11.676527,12.470766,13.540627,12.353676,13.672214,14.582514,15.499071,13.749247,11.6063385,10.623775,12.468795,11.89964,11.9772835,13.029594,13.181231,14.046559,13.497029,12.886571,13.5224085,13.35822,11.026385,10.661132,11.842903,11.335545,11.636977,12.518333,11.152483,12.555167,12.680236,12.610325,11.973186,12.296719,NKG7,4818.0,GO:0005887
A_23_P348257,7.868965,6.4209924,6.323,7.271253,5.918821,7.688529,8.44132,7.1085443,7.846649,8.354297,8.184049,8.612961,6.264534,5.5611424,7.1490455,6.8626933,7.810676,6.338386,8.862583,8.379722,9.846747,8.563554,11.167822,7.9613996,7.02126,7.0985723,7.718853,5.906497,6.4162407,7.226631,7.002447,7.8915534,10.094327,7.431084,8.9700985,7.437943,4.518523,6.0278225,6.528463,5.88448,5.87417,8.098175,5.8469677,6.8291245,7.625573,7.50364,7.3252273,6.086304,NUAK1,9891.0,GO:0005515|GO:0035507|GO:0005730|GO:0005634|GO:0005524|GO:0030155|GO:0046872|GO:0006974|GO:0002039|GO:0005737|GO:0004674|GO:0042127|GO:0015630|GO:0006468|GO:2000772|GO:0007155
A_24_P213187,2.9671774,0.0,0.0,0.0,0.85784173,0.0,1.1557473,0.0,0.0,0.0,0.17198305,1.9002454,1.7750525,0.0,0.005895713,5.928676,5.722546,0.5784982,0.0,3.503967,4.73576,3.8895369,0.0,0.0,0.7269907,0.0,0.0,0.0,4.880271,0.66749525,0.0,0.0,0.0,0.0,1.2053925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91574717,1.7790874,1.5123334,2.148146,0.0,,,
A_23_P37778,12.260518,12.437869,12.958056,13.078866,12.216303,12.608715,12.980054,13.518503,13.384126,13.046798,13.428613,13.243706,12.541925,12.055097,12.725722,12.886345,12.527334,12.503735,12.904428,12.076327,12.676104,12.034206,12.903218,13.226748,12.203131,12.265767,12.469393,12.51749,11.729732,12.655433,13.371152,12.713784,13.34759,13.076768,12.570732,13.273798,13.119653,13.1395855,12.720363,12.512514,12.65791,13.137655,13.17208,12.643269,12.461129,13.180466,12.523165,13.74543,FHOD1,29109.0,GO:0005515|GO:0005737|GO:0001725|GO:0032059|GO:0016020|GO:0045944|GO:0051496|GO:0005634|GO:0003779|GO:0042802
A_32_P122595,3.9374883,4.0917625,1.9774027,1.1023101,2.390811,1.4391742,4.507978,2.569579,2.2486284,2.818628,3.446644,4.076362,2.7865982,0.0,5.5665317,4.1572704,4.4252377,4.4796925,5.7787766,4.230127,4.5956426,6.7244854,6.7269044,4.696683,3.1858287,2.3020022,4.7416596,4.2832775,4.2013283,2.4745374,3.9272015,5.1045156,4.312829,3.6423616,4.4435177,0.0,2.7758667,2.334119,4.28734,3.8923593,0.0,4.0990806,3.1459548,2.9348595,5.7223835,3.7692926,4.0621614,4.9964013,,,
A_24_P928333,2.57996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0123754,3.6613677,0.0,2.294895,1.5571542,3.2771294,5.405102,0.8295824,0.22699304,0.0,0.0,1.0418549,0.0,0.0,0.0,2.2697961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09046,1.2035601,0.0,,,
A_32_P108636,4.8818183,4.8018193,5.1275315,4.416113,3.614904,4.614845,4.6730547,5.7652044,4.574312,3.9254432,3.9396837,4.50971,4.7041535,4.596387,5.382952,6.304814,6.1531057,4.3596363,5.449735,4.17442,6.1151466,5.7505836,5.59818,4.5211945,4.254077,5.0379915,5.2665772,4.0953,5.173027,4.927235,5.5809193,5.0365124,5.3367686,4.39975,4.5667324,4.3895607,3.005111,4.592521,4.853351,5.1399937,4.8379674,5.356429,4.094932,4.501583,5.0332055,4.226169,4.7589874,4.0959373,,,
A_24_P415150,2.634847,0.30399808,0.0,0.0,0.0,0.0,2.891605,0.0,0.0,0.0,0.0,0.0,2.4584231,3.4381437,0.0,0.0,4.443514,0.0,1.4297675,2.5851398,3.900175,4.2132015,0.48023516,0.0,0.0,0.0,0.0,0.0,0.0,0.5194342,0.0,0.0,0.0,0.0,0.0,0.0,0.6334647,0.0,0.0,0.0,0.0,0.34078667,0.0,1.1077628,1.7284956,0.0,0.0,0.0,GNA14,9630.0,GO:0001664|GO:0005886|GO:0005834|GO:0003924|GO:0030168|GO:0005525|GO:0031683|GO:0046872|GO:0006184|GO:0007165|GO:0007596|GO:0060158|GO:0007188|GO:0004871|GO:0070062
A_23_P90014,10.184678,10.05425,9.985774,10.396856,10.005144,10.081402,10.485413,10.88762,10.355048,10.098744,10.258366,10.178247,9.291628,9.606664,10.572347,10.726172,10.0595455,10.158175,9.46146,9.462271,9.715873,9.905426,10.335694,9.886186,10.106063,8.305089,9.046209,9.402832,9.4091215,9.931152,10.558431,10.205819,10.466262,10.214222,9.885991,9.924613,10.2792225,10.297585,10.055502,10.80102,10.144611,10.177169,10.0999155,9.590397,9.551521,10.202628,9.449408,10.793764,GPR108,56927.0,GO:0016021
A_23_P51587,0.0,0.0,0.17755808,1.1780274,0.0,0.0,0.0,0.0,0.0,0.0,1.3091167,0.0,0.0,0.0,0.0,5.0150123,2.7405965,0.42866126,1.8358558,1.620557,3.4960327,0.0,0.0,1.6909072,0.0,0.0,0.0,0.0,0.26300794,1.8038932,0.0,0.12594596,0.4394317,0.0,0.96477574,0.0,0.0,0.023475358,0.0,0.0,0.0,0.0,0.0,0.0,1.3447903,0.0,0.057196528,0.0,RGS7,6000.0,GO:0031681|GO:0005886|GO:0005834|GO:0038032|GO:0044292|GO:0005634|GO:0005829|GO:0035556|GO:0043547|GO:0005737|GO:0007186|GO:0004871|GO:0005096
A_32_P171386,1.9664371,0.0,0.0,0.833932,0.0,0.0,2.9111485,0.0,0.0,0.11694356,0.0,0.0,0.0,0.0,0.82699054,0.0,0.29654545,5.432623,2.3204062,3.7998624,4.2103934,4.00944,0.0,0.0,2.3737128,0.0,0.0,0.0,0.0,0.24701974,4.31535,0.0,0.4659212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039676,1.7693228,2.181835,0.0,,,
A_23_P378450,3.3061056,0.21763028,0.0,1.7413768,0.0,0.0,2.6654458,0.5628222,0.0,0.0,1.8155897,1.511345,3.3312206,0.0,1.896026,5.17705,3.4177418,0.4169511,2.211725,4.183817,5.0143943,4.114443,2.4270108,1.6031693,3.092654,0.27752778,0.0,0.0,3.9376948,1.657891,1.071661,2.102987,0.0,0.0,1.3434448,0.0,0.0,1.182119,0.0,0.0,3.1022367,0.0,0.45133084,1.31722,3.105758,2.7759037,3.6220574,0.0,MBD3L2,125997.0,
A_23_P140907,11.839731,11.770558,11.707361,12.150409,12.004053,11.750677,12.174334,12.490834,11.943642,11.615422,11.98852,11.940086,11.52447,11.240658,12.171358,12.614629,11.540793,12.164537,12.012373,11.25786,11.552124,11.2923765,11.955293,11.673998,11.717997,11.383238,10.824573,11.268627,11.516563,11.434835,12.098494,11.741611,12.3367,11.526707,11.603634,11.58319,12.146368,12.31815,12.310093,12.217791,11.788168,12.07346,12.0137005,10.888843,11.192448,12.138964,10.995426,12.619913,TMEM8A,58986.0,GO:0008150|GO:0003674|GO:0005887|GO:0007155|GO:0005765|GO:0070062
A_23_P92809,6.3724623,6.86545,6.773658,6.853129,6.937116,6.343528,7.4232535,7.3608136,7.653856,7.196638,7.4218054,7.206599,5.060695,6.0565543,7.1721115,7.0382586,6.284356,6.6993475,6.3097825,7.6705933,7.0290136,6.955156,7.2399173,6.271519,6.173517,5.9407215,4.811994,5.9816823,5.6921244,7.7807117,6.8171782,7.410448,7.311336,7.123297,7.071763,7.1514316,6.7391486,6.8627205,7.654972,6.553581,6.1114283,7.8634524,6.9664745,6.6133347,6.807217,7.2149453,7.1808634,8.163706,,,
A_24_P397294,7.969934,8.353644,8.130951,8.09366,8.360023,8.405707,8.316155,8.78541,8.528576,7.849821,8.203534,8.693524,8.395606,8.000199,8.375163,8.5931835,7.8467855,8.34306,7.6753,7.8489175,7.995553,8.110448,7.89203,8.449366,7.973309,7.331654,7.525458,8.306014,7.575009,8.0750475,8.061294,8.262721,7.9987316,8.3318205,7.751646,8.226088,8.438965,7.9727306,8.75261,8.855033,8.039942,8.607972,8.33185,7.4345465,7.530061,8.015708,7.9007397,8.847055,LTC4S,4056.0,GO:0005515|GO:0019369|GO:0019370|GO:0005783|GO:0019372|GO:0044281|GO:0005635|GO:0043085|GO:0004364|GO:0004464|GO:0006691|GO:0043231|GO:0008289|GO:0004602|GO:0005640|GO:0005789|GO:2001300|GO:0016021|GO:0008047|GO:0055114
A_32_P164593,5.367052,6.0356603,5.748321,5.3323207,4.728931,4.4994082,6.6018834,4.244427,6.0468783,4.3536224,6.7938347,5.63978,4.719051,4.7986646,3.9137483,4.8952417,4.08996,4.2788157,4.891831,3.6971712,4.5721107,4.410357,4.120445,4.382314,2.4602864,0.0,4.376035,4.3050175,2.9146264,5.009036,4.3874702,6.372418,5.5375886,4.2682915,4.683286,3.6492188,4.756875,3.10999,4.210295,3.8994563,4.4734106,4.4699,3.5079634,4.4851723,4.850942,5.025308,5.3533354,6.2367897,ZMAT4,79698.0,GO:0008270|GO:0005634|GO:0003677
AT_T_M,0.88417906,0.46307966,0.0,0.8814435,1.140881,1.2093939,0.16205505,0.89997977,2.0697262,1.0661606,0.20759216,0.0,0.5502302,0.0,0.5196895,0.6932048,0.0,0.1785173,0.2003651,0.0,0.8627998,0.7536683,0.2821453,0.34611505,0.11347734,0.21202,0.070812605,0.31179127,0.543327,0.0,0.41608506,0.0,0.0,0.0,0.14104299,0.3757083,0.047691412,0.87665635,0.14330287,0.9228381,0.23197715,0.19482102,0.24348404,0.105570786,0.0,0.0,0.42236957,1.4115075,,,
A_24_P66233,6.4667583,6.363586,6.375473,6.417711,6.5563087,6.542165,7.372543,7.1695786,6.958323,6.6111536,6.843886,6.8529286,6.128255,5.8070307,6.577863,6.5784545,6.4601064,5.847987,6.4068885,6.3094063,7.109427,6.676215,6.4828105,6.9033685,4.7501345,3.6957312,3.847481,4.2904797,4.859937,5.901793,5.7147427,5.640367,6.042171,5.7350793,5.6734324,4.8003144,5.214241,5.188257,5.4074335,5.9689856,5.227803,5.989172,6.2123795,5.662577,5.8145647,6.02902,5.8162313,5.111908,TTTY14,83869.0,
A_32_P99753,6.7428255,7.0207596,7.5701327,6.7968445,7.2702823,7.0780134,8.112061,7.7420144,7.543838,7.6745715,7.8919387,7.5664454,6.76963,6.688835,7.324116,7.5741854,7.1300793,7.377901,6.85962,7.4976573,7.5895123,7.2243795,7.3655148,7.402168,6.819897,6.3308153,6.3312964,6.659318,6.8154597,7.3962364,7.73242,7.6589036,7.4845757,7.5410466,7.6094666,7.438481,7.042852,7.0337443,7.346743,7.5496373,7.052145,7.7587023,7.5970864,7.682327,7.6555195,7.684307,7.442046,7.813654,EFCAB12,90288.0,GO:0005509
